PassInfo,Class,Deck,Cabin No.,Name,Evidence,Comments
1,First Class,B Deck,B-57-59-61-63 (?),"Ryerson, Miss Susan (Suzette) ParkerBowen, Miss Grace Scott [governess to Master Ryerson]",Tentatively deduced from Mrs Ryerson\'s affidavit to the Senate inquiry.,Possibly in B-59
1,First Class,B Deck,B-57-59-61-63 (?),"Chaudanson, Miss Victorine [maid to Mrs Ryerson]",Tentatively deduced from Mrs Ryerson\'s affidavit to the Senate inquiry.,Possibly in B-61
1,First Class,B Deck,B-57-59-61-63 (?),"Chaudanson, Miss Victorine [maid to Mrs Ryerson]",Tentatively deduced from Mrs Ryerson\'s affidavit to the Senate inquiry.,B-57-59-61-63 (?)
1,First Class,B Deck,B-57-59-61-63 (?),"Ryerson, Master John Borie
Ryerson, Miss Emily Borie",Tentatively deduced from Mrs Ryerson\'s affidavit to the Senate inquiry.,Possibly in B-63
1,First Class,B Deck,B-58,"Baxter, Mr Quigg Edmond",Cave List,
1,First Class,B Deck,B-60,"Baxter, Mrs James Douglas, Mrs Frederick Charles",Cave List,"Mrs Douglas\' cabin on the Cave List is identified as B-60, but it is possible that she and her mother were actually in B-58."
1,First Class,B Deck,B-60,"Baxter, Mrs James Douglas, Mrs Frederick Charles",Cave List,"Mrs Douglas\' cabin on the Cave List is identified as B-60, but it is possible that she and her mother were actually in B-58."
1,First Class,B Deck,B-69,"Hays, Mr Charles MelvilleHays, Mrs Charles Melville",Cave List,
1,First Class,B Deck,B-69,"Hays, Mr Charles MelvilleHays, Mrs Charles Melville",Cave List,
1,First Class,B Deck,B-71,"Davidson, Mr ThorntonDavidson, Mrs Thornton (Orian Hays)",Cave List,
1,First Class,B Deck,B-71,"Davidson, Mr ThorntonDavidson, Mrs Thornton (Orian Hays)",Cave List,
1,First Class,B Deck,B-72 (?),"May, Mr Richard (cross channel passenger)
May, Mr Stanley (cross channel passenger)",Speculation,"Fr. Francis Browne never mentions the cabin allocations of his travelling companions. He does though mention that there were suites on B deck and gives only two examples, ""Loius XVI and Modern Dutch"". He says that the styles are revealed on the other side of the door (i.e. behind the door). He would only know such things if he had actually visited B deck suites. Also, on his deck and cabin allocation plan (which is reproduced in the book which contains his photos) there is a little pen mark outside of cabins B-72 and B-74. Perhaps he made a little mark to remind him that his travelling companions were in those cabins."
1,First Class,B Deck,B-72 (?),"May, Mr Richard (cross channel passenger)
May, Mr Stanley (cross channel passenger)",Speculation,"Fr. Francis Browne never mentions the cabin allocations of his travelling companions. He does though mention that there were suites on B deck and gives only two examples, ""Loius XVI and Modern Dutch"". He says that the styles are revealed on the other side of the door (i.e. behind the door). He would only know such things if he had actually visited B deck suites. Also, on his deck and cabin allocation plan (which is reproduced in the book which contains his photos) there is a little pen mark outside of cabins B-72 and B-74. Perhaps he made a little mark to remind him that his travelling companions were in those cabins."
1,First Class,B Deck,B-73,"Perreault, Miss Anne [maid to Mrs Hays]",Cave List,
1,First Class,B Deck,B-74 (?),"Odell, Master Jack Dudley (cross channel passenger)",Speculation,See B-72
1,First Class,B Deck,B-76 (?),"Odell, Miss Kate (cross channel passenger)
Odell, Mrs Lily (cross channel passenger)",Speculation,The Cave List has the Spencer\'s in B-76 see below.
1,First Class,B Deck,B-76 (?),"Odell, Miss Kate (cross channel passenger)
Odell, Mrs Lily (cross channel passenger)",Speculation,Speculation
1,First Class,B Deck,B-76 or 78 (?),"Spencer, Mr William AugustusSpencer, Mrs William Augustus (Marie Eugenie)",Cave List / Senate inquiry,"According to the Cave List, Mr and Mrs Spencer were assigned to cabin B-76. Their maid was assigned to B-80, so perhaps for convenience they moved to B-78 (or perhaps it was a misprint on the Mr Etches testified that their cabin was B-78."
1,First Class,B Deck,B-76 or 78 (?),"Spencer, Mr William AugustusSpencer, Mrs William Augustus (Marie Eugenie)",Cave List / Senate inquiry,"According to the Cave List, Mr and Mrs Spencer were assigned to cabin B-76. Their maid was assigned to B-80, so perhaps for convenience they moved to B-78 (or perhaps it was a misprint on the Mr Etches testified that their cabin was B-78."
1,First Class,B Deck,B-77,"Rothes, the Countess of
Cherry, Miss Gladys",Personal account in New York Herald (22 April 1912).,"According to the Cave List, the countess Miss Cherry and Miss Maioni were assigned to C-37 (q.v.) for some reason she and Miss Cherry were moved to B-77."
1,First Class,B Deck,B-79 (?),"Maioni, Miss Roberta [maid to the Countess of Rothes]",Speculation,"Miss Roberta\'s employer moved to B-77 (q.v.). Next to B-77 the maid\'s cabin was B-79. If Miss Roberta moved with her employer then she would have occupied B-79, if not, Miss Roberta would have stayed in C-37."
1,First Class,B Deck,B-80,"Lurette, Miss Elise [maid to Mrs Spencer]",Cave List,Berth 1
1,First Class,B Deck,B-84,"Guggenheim, Mr Benjamin",Cave List / Etches testimony at the Senate inquiry.,"It has been suggested (Eaton & Haas 1994) that Guggenheim occupied cabin B-82-84 while his valet was in B-86). Etches said that Guggenheim occupied cabin B-84 with his valet. ""the next cabins were empty untill you come to B-84 occupied by Mr Guggenheim and his valet and Mr Carter\'s valet occupied 86, the inside cabin."" Later when describing the lifebelts and talking about Guggenheim\'s cabin he said there were three lifebelts in a room occupied by two."
1,First Class,B Deck,B-84,"Giglio, Mr Victor [valet to Mr Guggenheim]",Cave List / Etches testimony at the Senate inquiry.,"It has been suggested (Eaton & Haas 1994) that Guggenheim occupied cabin B-82-84 while his valet was in B-86). Etches said that Guggenheim occupied cabin B-84 with his valet. ""the next cabins were empty untill you come to B-84 occupied by Mr Guggenheim and his valet and Mr Carter\'s valet occupied 86, the inside cabin."" Later when describing the lifebelts and talking about Guggenheim\'s cabin he said there were three lifebelts in a room occupied by two."
1,First Class,B Deck,B-86,"Cairns, Mr Alexander [manservant to Mr Carter]",Senate inquiry,See above
1,First Class,B Deck,B-94,"Harrison, Mr William [secretary to Mr Ismay]",Senate inquiry,"Etches was the steward in this section, he confirms that Mr Harrison was in B-94."
1,First Class,B Deck,B-95 or 97 (?),"Loring, Mr Joseph Holland",Speculation,In Lynch (1992) Loring and Rheims are mentioned in the Smoking Room talking to a steward and Loring says that his stateroom is right under the Smoking Room. B-97 and 95 are the only unoccupied cabins right under the Smoking Room. Mr Loring did not survive and any information known about him comes from Mr Rheims. In addition to the smoke room incident any information on the whereabouts of Mr Loring\'s cabin comes from Mr Rheims\' accounts or letters. But Mr Rheims never mentions either his or Mr Loring\'s actual cabin number.
1,First Class,B Deck,B-96-98,"Carter, Mr William ErnestCarter, Mrs William Ernest (Lucile Polk)Carter, Miss Lucile PolkCarter, Master William Thornton II",Cave List,The Cave List suggests the parents were in B-96
1,First Class,B Deck,B-96-98,"Carter, Mr William ErnestCarter, Mrs William Ernest (Lucile Polk)Carter, Miss Lucile PolkCarter, Master William Thornton II",Cave List,The Cave List suggests the parents were in B-96
1,First Class,B Deck,B-96-98,"Carter, Mr William ErnestCarter, Mrs William Ernest (Lucile Polk)Carter, Miss Lucile PolkCarter, Master William Thornton II",Cave List,The Cave List suggests the parents were in B-96
1,First Class,B Deck,B-96-98,"Carter, Mr William ErnestCarter, Mrs William Ernest (Lucile Polk)Carter, Miss Lucile PolkCarter, Master William Thornton II",Cave List,The Cave List suggests the parents were in B-96
1,First Class,B Deck,B-101 (?),"Lesurer, Mr Gustave [manservant to Mr Cardeza]Ward, Miss Anna [maid to Mrs Cardeza]",Cave List / Speculation,"Anna Ward may have occupied B-101, if so then she would have berthed with Gustave Lesneur, a possibility but it is perhaps more likely that she would have occupied the same cabin as Mrs Cardeza (q.v.)."
1,First Class,B Deck,B-101 (?),"Lesurer, Mr Gustave [manservant to Mr Cardeza]Ward, Miss Anna [maid to Mrs Cardeza]",Cave List / Speculation,"Anna Ward may have occupied B-101, if so then she would have berthed with Gustave Lesneur, a possibility but it is perhaps more likely that she would have occupied the same cabin as Mrs Cardeza (q.v.)."
1,First Class,B Deck,B-102 (?),"Fry, Mr Richard [valet to Mr Ismay]",Unknown,"Not mentioned in Cave List, source unknown"
,,,,,,
0,First Class,C Deck,,,,"Has 137 numbered cabins, 2 of which are sitting rooms. Therefore 135 cabins are able to accommodate 315 passengers."
1,First Class,C Deck,C-2,"Pears, Mr ThomasPears, Mrs Thomas (Edith Wearne)",Cave List,
1,First Class,C Deck,C-2,"Pears, Mr ThomasPears, Mrs Thomas (Edith Wearne)",Cave List,
1,First Class,C Deck,C-6,"Beattie, Mr Thomson
McCaffry, Mr Thomas Francis",Cave List,Peuchen thought Beattie and McCaffry were in A-8 (q.v.) and in cabins with numbers to that affect (Source: Senate inquiry). It is possible that they were moved after the Cave List was printed.
1,First Class,C Deck,C-6,"Beattie, Mr Thomson
McCaffry, Mr Thomas Francis",Cave List,Peuchen thought Beattie and McCaffry were in A-8 (q.v.) and in cabins with numbers to that affect (Source: Senate inquiry). It is possible that they were moved after the Cave List was printed.
1,First Class,C Deck,C-7,"Bonnell, Miss CarolineWick, Miss Mary Natalie","Cave List / Miss Bonnell\'s account (The Christian Science Monitor
19 April 1912, p. 5)","Mr and Mrs Wick and their daughter were not on the Cave List. They did though book in plenty of time to be included on the Cave List so the reason for their exclusion is unknown. We know that Miss Wick was in the same cabin as Miss Bonnell, because of an interview where Miss Bonnell says they were in the same cabin."
1,First Class,C Deck,C-7,"Bonnell, Miss CarolineWick, Miss Mary Natalie","Cave List / Miss Bonnell\'s account (The Christian Science Monitor
19 April 1912, p. 5)","Mr and Mrs Wick and their daughter were not on the Cave List. They did though book in plenty of time to be included on the Cave List so the reason for their exclusion is unknown. We know that Miss Wick was in the same cabin as Miss Bonnell, because of an interview where Miss Bonnell says they were in the same cabin."
1,First Class,C Deck,C-22-26,"Allison, Mr Hudson Joshua Creighton
Allison, Mrs Hudson J.C. (Bessie Waldo Daniels)Daniels, Miss Sarah [maid to Mrs Allison]
Allison, Miss Helen LorraineAllison, Master Hudson TrevorCleaver, Miss Alice  [nurse to Master Allison]",Cave List,"The Cave List only mentions C-22 and C-26. After the disaster when Miss Cleaver and Miss Daniels stayed with the family, it bcame known that they may have been in 3 cabins. Since nearby C-24 was vacant, they might have added that on to their cabins. It is not certain that the Allisons took C-24 as well. It\'s quite possible that they only occupied C-22 and C-26. Mr and Mrs Allison with Lorriane would have probably have occupied C-26 with the others in C-22. In C-24 is incuded it is likely that Miss Cleaver and Trevor were placed in C-24 and that the confusion that Miss Cleaver caused by leaving with Trevor was probably because they were in a seperate cabin."
1,First Class,C Deck,C-22-26,"Allison, Mr Hudson Joshua Creighton
Allison, Mrs Hudson J.C. (Bessie Waldo Daniels)Daniels, Miss Sarah [maid to Mrs Allison]
Allison, Miss Helen LorraineAllison, Master Hudson TrevorCleaver, Miss Alice  [nurse to Master Allison]",Cave List,"The Cave List only mentions C-22 and C-26. After the disaster when Miss Cleaver and Miss Daniels stayed with the family, it bcame known that they may have been in 3 cabins. Since nearby C-24 was vacant, they might have added that on to their cabins. It is not certain that the Allisons took C-24 as well. It\'s quite possible that they only occupied C-22 and C-26. Mr and Mrs Allison with Lorriane would have probably have occupied C-26 with the others in C-22. In C-24 is incuded it is likely that Miss Cleaver and Trevor were placed in C-24 and that the confusion that Miss Cleaver caused by leaving with Trevor was probably because they were in a seperate cabin."
1,First Class,C Deck,C-22-26,"Allison, Mr Hudson Joshua Creighton
Allison, Mrs Hudson J.C. (Bessie Waldo Daniels)Daniels, Miss Sarah [maid to Mrs Allison]
Allison, Miss Helen LorraineAllison, Master Hudson TrevorCleaver, Miss Alice  [nurse to Master Allison]",Cave List,"The Cave List only mentions C-22 and C-26. After the disaster when Miss Cleaver and Miss Daniels stayed with the family, it bcame known that they may have been in 3 cabins. Since nearby C-24 was vacant, they might have added that on to their cabins. It is not certain that the Allisons took C-24 as well. It\'s quite possible that they only occupied C-22 and C-26. Mr and Mrs Allison with Lorriane would have probably have occupied C-26 with the others in C-22. In C-24 is incuded it is likely that Miss Cleaver and Trevor were placed in C-24 and that the confusion that Miss Cleaver caused by leaving with Trevor was probably because they were in a seperate cabin."
1,First Class,C Deck,C-22-26,"Allison, Mr Hudson Joshua Creighton
Allison, Mrs Hudson J.C. (Bessie Waldo Daniels)Daniels, Miss Sarah [maid to Mrs Allison]
Allison, Miss Helen LorraineAllison, Master Hudson TrevorCleaver, Miss Alice  [nurse to Master Allison]",Cave List,"The Cave List only mentions C-22 and C-26. After the disaster when Miss Cleaver and Miss Daniels stayed with the family, it bcame known that they may have been in 3 cabins. Since nearby C-24 was vacant, they might have added that on to their cabins. It is not certain that the Allisons took C-24 as well. It\'s quite possible that they only occupied C-22 and C-26. Mr and Mrs Allison with Lorriane would have probably have occupied C-26 with the others in C-22. In C-24 is incuded it is likely that Miss Cleaver and Trevor were placed in C-24 and that the confusion that Miss Cleaver caused by leaving with Trevor was probably because they were in a seperate cabin."
1,First Class,C Deck,C-22-26,"Allison, Mr Hudson Joshua Creighton
Allison, Mrs Hudson J.C. (Bessie Waldo Daniels)Daniels, Miss Sarah [maid to Mrs Allison]
Allison, Miss Helen LorraineAllison, Master Hudson TrevorCleaver, Miss Alice  [nurse to Master Allison]",Cave List,"The Cave List only mentions C-22 and C-26. After the disaster when Miss Cleaver and Miss Daniels stayed with the family, it bcame known that they may have been in 3 cabins. Since nearby C-24 was vacant, they might have added that on to their cabins. It is not certain that the Allisons took C-24 as well. It\'s quite possible that they only occupied C-22 and C-26. Mr and Mrs Allison with Lorriane would have probably have occupied C-26 with the others in C-22. In C-24 is incuded it is likely that Miss Cleaver and Trevor were placed in C-24 and that the confusion that Miss Cleaver caused by leaving with Trevor was probably because they were in a seperate cabin."
1,First Class,C Deck,C-22-26,"Allison, Mr Hudson Joshua Creighton
Allison, Mrs Hudson J.C. (Bessie Waldo Daniels)Daniels, Miss Sarah [maid to Mrs Allison]
Allison, Miss Helen LorraineAllison, Master Hudson TrevorCleaver, Miss Alice  [nurse to Master Allison]",Cave List,"The Cave List only mentions C-22 and C-26. After the disaster when Miss Cleaver and Miss Daniels stayed with the family, it bcame known that they may have been in 3 cabins. Since nearby C-24 was vacant, they might have added that on to their cabins. It is not certain that the Allisons took C-24 as well. It\'s quite possible that they only occupied C-22 and C-26. Mr and Mrs Allison with Lorriane would have probably have occupied C-26 with the others in C-22. In C-24 is incuded it is likely that Miss Cleaver and Trevor were placed in C-24 and that the confusion that Miss Cleaver caused by leaving with Trevor was probably because they were in a seperate cabin."
1,First Class,C Deck,C-23,"Fortune, Mr Charles Alexander",Cave List,
1,First Class,C Deck,C-25,"Fortune, Miss Alice ElizabethFortune, Miss Ethel FloraFortune, Miss Mabel",Cave List,
1,First Class,C Deck,,"Fortune, Miss Alice ElizabethFortune, Miss Ethel FloraFortune, Miss Mabel",Cave List,
1,First Class,C Deck,,"Fortune, Miss Alice ElizabethFortune, Miss Ethel FloraFortune, Miss Mabel",Cave List,
1,First Class,C Deck,C-27,"Fortune, Mr MarkFortune, Mrs Mark (Mary McDougald)",Cave List,
1,First Class,C Deck,C-27,"Fortune, Mr MarkFortune, Mrs Mark (Mary McDougald)",Cave List,
1,First Class,C Deck,C-28 (?),"Schabert, Mrs Paul (Emma Mock)",Personal account / unknown,"Not mentioned in Cave List. The Philadelphia Evening Bulletin of 19 April 1912 quotes Mrs. Schabert as saying she was in \'stateroom 28 on the port side.\' She also wrote after the sinking: \'Mrs Straus, who had a stateroom near me and with whom I often talked, refused to leave her husband.\' Since Mrs Straus had her cabin on C-deck, we can deduce that Mrs Schabert most likely had her cabin on this deck as well."
1,First Class,C Deck,C-30,"Molson, Mr Harry Markland",Cave List,
1,First Class,C Deck,C-32,"White, Mrs John Stuart (Ella Holmes)Young, Miss Marie Grice",Cave List,
1,First Class,C Deck,C-32,"White, Mrs John Stuart (Ella Holmes)Young, Miss Marie Grice",Cave List,
1,First Class,C Deck,C-37,"Cherry, Miss GladysMaioni, Miss Roberta [maid to the Countess of Rothes]Rothes, Countess of (Lucy Noël Martha Dyer-Edwards)",Cave List,See also B-77.
1,First Class,C Deck,C-37,"Cherry, Miss GladysMaioni, Miss Roberta [maid to the Countess of Rothes]Rothes, Countess of (Lucy Noël Martha Dyer-Edwards)",Cave List,See also B-77.
1,First Class,C Deck,C-37,"Cherry, Miss GladysMaioni, Miss Roberta [maid to the Countess of Rothes]Rothes, Countess of (Lucy Noël Martha Dyer-Edwards)",Cave List,See also B-77.
1,First Class,C Deck,C-39,"Hipkins, Mr William Edward",Cave List,
1,First Class,C Deck,C-42,"Graham, Mr George Edward",Cave List,
1,First Class,C Deck,C-45,"Endres, Miss Caroline Louise [nurse to Mrs Astor]",Cave List,
1,First Class,C Deck,C-46,"Cavendish, Mr Tyrell WilliamCavendish, Mrs Tyrell William (Julia Florence Siegel)Barber, Miss Ellen ""Nellie"" [maid to Mrs Cavendish]",Cave List,"Mrs Cavendish\'s son, in later life recalled that his mother claimed she had terrible sea sickness. He also got the impression that she was on a higher deck (poosibly B-deck). If the Cavendishes were in C-46 (ie. it was not a misprint), it is possible that they later moved to a different cabin."
1,First Class,C Deck,C-46,"Cavendish, Mr Tyrell WilliamCavendish, Mrs Tyrell William (Julia Florence Siegel)Barber, Miss Ellen ""Nellie"" [maid to Mrs Cavendish]",Cave List,"Mrs Cavendish\'s son, in later life recalled that his mother claimed she had terrible sea sickness. He also got the impression that she was on a higher deck (poosibly B-deck). If the Cavendishes were in C-46 (ie. it was not a misprint), it is possible that they later moved to a different cabin."
1,First Class,C Deck,C-46,"Cavendish, Mr Tyrell WilliamCavendish, Mrs Tyrell William (Julia Florence Siegel)Barber, Miss Ellen ""Nellie"" [maid to Mrs Cavendish]",Cave List,"Mrs Cavendish\'s son, in later life recalled that his mother claimed she had terrible sea sickness. He also got the impression that she was on a higher deck (poosibly B-deck). If the Cavendishes were in C-46 (ie. it was not a misprint), it is possible that they later moved to a different cabin."
